YEAR,ID,MARITAL,AGE,EDUC,DEGREE,SEX,RACE,RACECEN1,RACECEN2,RACECEN3,COHORT,ZODIAC,DIVORCE,WIDOWED,SIBS,CHILDS,AGEKDBRN,HOMPOP,BABIES,PRETEEN,TEENS,ADULTS,UNRELAT,HHTYPE1,PRESTG80,SPPRES80,INCOME06,RINCOM06,SATFIN,WRKSTAT,HRS1,WRKSLF,PARTFULL,SPWRKSTA,SPHRS1,DWELOWN,SEI,SPSEI,MASEI,PASEI,HAPMAR,EVSTRAY,DIVLAW,AGED,SPANKING,ABANY,ABDEFCTW,ABDEFECT,ABHLTH,ABNOMORE,ABPOOR,ABPOORW,ABRAPE,MARHOMO,HAPPY,FATALISM,HEALTH,LIFE,LETDIE1,OWNGUN,HUNT,NEWS,TVHOURS,GETAHEAD,RICHWORK,RACDIF1,RACDIF2,RACDIF3,RACDIF4,FEAR,PARTYID,POLVIEWS,NATENVIR,NATHEAL,NATCRIME,NATEDUC,NATARMS,NATAID,NATFARE,NATSOC,NATCHLD,NATSCI,NATFAREY,CAPPUN,GUNLAW,COURTS,GRASS,AFFRMACT,WRKWAYUP,WORKWHTS,WORKBLKS,INTLWHTS,INTLBLKS,DISCAFF,FEJOBAFF,DISCAFFM,DISCAFFW,INCGAP,TAXRICH,RELIG,DENOM,FUND,ATTEND,RELITEN,POSTLIFE,PRAY,REBORN,RELEXP,SEXEDUC,PREMARSX,TEENSEX,XMARSEX,HOMOSEX,PORNLAW,XMOVIE,PARTNERS,SEXFREQ,NUMWOMEN,NUMMEN,SEXORNT,FECHLD,FEPRESCH,FEFAM,MEOVRWRK
2008,34,1,66,12,1,2,1,1,0,0,1942,5,0,0,4,2,19,1,0,0,0,1,-1,4,33,42,13,13,8,1,38,2,1,8,-1,2,20.1,32.3,-1,25.5,1,0,3,0,8,0,0,1,0,0,0,0,8,8,1,0,2,1,0,0,4,5,2,1,1,1,0,1,1,1,6,4,8,8,8,1,3,8,3,1,2,8,0,0,1,8,7,3,8,1,7,4,4,3,2,8,0,0,0,2,0,2,0,1,0,2,0,0,0,1,1,1,1,0,7,1,8,0,1,3,2,2,2,3
2008,35,9,43,16,3,1,1,1,0,0,1965,99,9,9,1,9,99,1,0,0,0,1,-1,4,0,0,98,99,3,9,99,9,1,9,99,2,-1,-1,-1,54.2,9,9,9,0,8,0,0,0,8,0,8,0,8,5,3,0,1,8,8,9,4,2,1,3,9,0,0,1,0,0,3,9,1,1,1,1,3,3,1,1,1,3,0,9,0,3,7,9,1,8,8,6,5,8,1,2,0,0,0,11,70,2,9,9,1,2,0,0,1,8,1,9,1,0,7,9,9,999,0,3,2,4,2,3
2008,36,5,37,16,3,2,1,1,0,0,1971,9,7,7,2,0,0,1,0,0,0,1,-1,4,51,0,21,21,1,1,50,2,1,0,-1,2,63.5,-1,-1,25.9,0,7,1,2,4,7,8,7,7,7,7,8,7,0,2,4,0,0,1,7,0,4,3,0,9,1,1,1,1,7,1,6,1,1,2,1,3,1,2,1,8,8,0,0,7,2,0,3,1,1,4,6,4,0,1,4,0,0,0,10,0,3,2,9,1,2,0,0,1,4,1,0,0,2,0,1,8,0,998,3,2,3,3,2
2008,37,1,30,16,3,2,3,10,0,0,1978,1,0,0,1,1,21,3,0,1,0,2,0,11,44,31,98,98,2,1,40,2,1,1,35,2,50.7,27.5,27.7,-1,1,7,8,0,3,8,0,8,8,8,8,0,8,3,1,0,1,2,8,0,4,4,2,1,1,8,8,8,8,0,3,8,1,8,8,2,2,2,8,1,1,1,0,8,1,8,7,8,8,4,4,4,4,8,4,8,0,0,0,9,0,9,0,9,8,8,0,0,1,3,1,1,8,0,7,-1,-1,-1,-1,0,4,3,4,5
2008,38,1,53,14,2,2,1,1,0,0,1955,99,0,0,3,2,28,4,0,0,0,4,-1,1,22,32,98,98,2,2,22,1,2,1,30,1,37.4,38.9,-1,93.3,2,0,3,0,1,1,0,1,1,1,1,0,1,1,2,0,2,1,1,0,4,2,1,1,1,0,0,0,1,0,3,4,1,1,1,1,2,2,2,2,1,1,0,0,1,2,7,4,1,4,4,4,4,3,3,8,0,0,0,1,60,3,2,9,1,2,0,1,1,4,1,1,4,0,7,1,3,0,3,3,2,4,4,4
2008,39,1,78,16,3,2,1,1,0,0,1930,12,0,0,1,1,32,2,0,0,0,2,0,1,36,51,98,0,1,5,-1,2,0,5,-1,0,26.4,62,-1,86,1,7,0,1,0,1,4,1,1,1,1,4,1,5,1,4,3,1,7,0,4,0,-1,1,7,7,7,7,7,0,4,6,1,1,1,1,2,3,8,2,8,8,0,1,1,2,0,0,0,0,0,0,0,3,0,0,0,2,2,10,0,3,3,9,8,2,0,0,7,0,0,1,1,2,0,-1,-1,-1,-1,0,0,0,0,0
2008,40,1,38,16,3,2,3,4,0,0,1970,2,0,0,2,0,0,2,0,0,0,2,0,1,63,64,21,0,2,6,-1,2,0,1,50,1,84.7,86.6,78.5,67,1,0,3,0,2,8,0,1,1,8,8,0,8,3,1,0,2,1,8,0,4,2,4,1,7,0,0,1,0,1,5,5,1,1,1,1,2,2,1,1,8,2,0,1,1,8,7,3,4,3,3,4,4,2,8,3,0,0,0,1,70,2,7,1,1,2,1,1,0,1,1,1,8,0,7,1,2,0,1,3,2,8,8,2
2008,41,1,64,14,1,2,3,8,0,0,1944,2,0,0,5,2,24,2,0,0,0,2,0,1,44,44,98,98,2,5,-1,1,0,5,-1,0,50.7,50.7,-1,37.3,2,7,0,1,0,1,4,1,1,1,1,4,1,5,2,2,2,2,7,0,4,0,-1,1,7,7,7,7,7,0,1,4,8,1,8,1,8,2,3,1,1,3,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,3,2,2,0,2,7,3,1,1,0,0,7,0,0,1,1,2,0,-1,-1,-1,-1,0,0,0,0,0
2008,42,1,60,10,1,2,1,1,0,0,1948,11,0,0,5,4,17,2,0,0,0,2,0,1,28,44,98,0,2,7,-1,2,0,1,40,1,32.4,35.4,-1,38.1,2,0,1,0,3,0,0,0,0,0,0,0,0,5,1,0,2,2,0,0,4,3,1,2,7,0,0,0,1,0,3,2,1,1,1,1,1,3,3,1,2,2,0,1,1,2,7,4,1,1,7,5,8,1,2,2,0,0,0,1,31,2,0,2,8,3,0,0,1,4,1,1,1,0,7,1,2,0,1,3,1,4,4,2
2008,43,3,55,13,1,2,1,1,0,0,1953,10,7,0,1,2,15,2,0,0,0,2,0,5,51,0,98,98,1,1,40,1,1,0,-1,0,63.5,-1,66.1,-1,0,0,0,1,0,1,3,1,1,1,1,3,1,3,2,3,2,1,7,0,4,0,-1,2,1,7,7,7,7,1,9,4,1,1,1,1,3,2,2,2,1,3,0,8,1,2,8,0,0,0,0,0,0,2,0,0,0,4,2,2,0,2,4,3,1,2,0,0,7,0,0,1,8,1,0,1,2,0,998,3,0,0,0,0
